Date,Entity,Value
2020-01-03,SPY,9924.27731504922
2020-01-06,SPY,9962.141233932363
2020-01-07,SPY,9934.129498291997
2020-01-08,SPY,9987.074677590912
2020-01-09,SPY,10054.794009501586
2020-01-10,SPY,10025.858889322984
2020-01-13,SPY,10094.806652449704
2020-01-14,SPY,10079.419314793022
2020-01-15,SPY,10102.192698192484
2020-01-16,SPY,10186.228935676681
2020-01-17,SPY,10217.93317890689
2020-01-21,SPY,10197.925826869727
2020-01-22,SPY,10199.156319211976
2020-01-23,SPY,10210.85527153122
2020-01-24,SPY,10120.048234475367
2020-01-27,SPY,9957.829357918998
2020-01-28,SPY,10062.182116370568
2020-01-29,SPY,10053.86650271095
2020-01-30,SPY,10086.49825273179
2020-01-31,SPY,9903.346578473824
2020-02-03,SPY,9976.914355981022
2020-02-04,SPY,10128.973941490603
2020-02-05,SPY,10245.944914547254
2020-02-06,SPY,10280.422403081466
2020-02-07,SPY,10225.631485269181
2020-02-10,SPY,10301.968385827984
2020-02-11,SPY,10319.820830421562
2020-02-12,SPY,10386.30863942689
2020-02-13,SPY,10375.22802496807
2020-02-14,SPY,10391.849977219403
2020-02-18,SPY,10365.069764484384
2020-02-19,SPY,10414.629543997471
2020-02-20,SPY,10371.843655745342
2020-02-21,SPY,10265.02991260928
2020-02-24,SPY,9924.585453416332
2020-02-25,SPY,9623.849621056796
2020-02-26,SPY,9588.449778547449
2020-02-27,SPY,9157.817650722172
2020-02-28,SPY,9119.34157735721
2020-03-02,SPY,9514.26984655843
2020-03-03,SPY,9241.85182708017
2020-03-04,SPY,9630.313312824443
2020-03-05,SPY,9310.184344035766
2020-03-06,SPY,9156.274897760413
2020-03-09,SPY,8441.22075145982
2020-03-10,SPY,8878.011524374931
2020-03-11,SPY,8445.223973824524
2020-03-12,SPY,7637.209428869145
2020-03-13,SPY,8290.085581051575
2020-03-16,SPY,7382.954568759326
2020-03-17,SPY,7781.573799705734
2020-03-18,SPY,7387.572006732052
2020-03-19,SPY,7403.269543882048
2020-03-20,SPY,7084.231941417024
